Date,Time,RSSI(dB),RxBt(V),VFAS(V),Curr(A),mAh(mAh),Pwr(W),Rud,Ele,Thr,Ail,P1,P2,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2025-03-20,14:48:26.150,96,5.6,12.31,0.7,0,8.6,-1,-3,-580,-5,-1013,573,-1,-1,-1,-1,-1,1,-1,-1,0x000000000000000C,1493,1465,1210,1497,1493,1091,988,988,1730,2012,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2025-03-20,14:48:26.620,94,5.6,12.31,0.7,0,8.6,-1,-29,-525,11,-1013,573,-1,-1,-1,-1,-1,1,-1,-1,0x000000000000000C,1490,1452,1238,1497,1490,1091,988,988,1730,2012,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2025-03-20,14:48:27.120,99,5.6,12.31,0.7,0,8.6,-4,-3,-473,19,-1013,574,-1,-1,-1,-1,-1,1,-1,-1,0x000000000000000C,1488,1465,1264,1498,1488,1091,988,988,1730,2012,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2025-03-20,14:48:27.620,99,5.6,12.26,2.6,0,31.8,1,-7,-377,10,-1013,574,-1,-1,-1,-1,-1,1,-1,-1,0x000000000000000C,1490,1463,1312,1496,1490,1091,988,988,1730,2012,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2025-03-20,14:48:28.120,97,5.6,12.26,3.0,1,36.7,-170,-5,-379,-8,-1013,573,-1,-1,-1,-1,-1,1,-1,-1,0x000000000000000C,1494,1464,1311,1581,1494,1091,988,988,1730,2012,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2025-03-20,14:48:28.620,96,5.6,12.24,3.0,1,36.7,-10,-52,-329,-2,-1013,574,-1,-1,-1,-1,-1,1,-1,-1,0x000000000000000C,1493,1440,1336,1501,1493,1091,988,988,1730,2012,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2025-03-20,14:48:29.120,86,5.6,12.22,5.5,1,67.2,90,-178,-213,5,-1013,574,-1,-1,-1,-1,-1,1,-1,-1,0x000000000000000C,1491,1377,1394,1451,1491,1091,988,988,1730,2012,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2025-03-20,14:48:29.620,78,5.6,12.18,5.5,2,66.9,166,-202,-211,2,-1013,573,-1,-1,-1,-1,-1,1,-1,-1,0x000000000000000C,1492,1365,1395,1413,1492,1091,988,988,1730,2012,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2025-03-20,14:48:30.120,91,5.5,12.13,6.7,3,81.2,20,-168,-69,18,-1013,573,-1,-1,-1,-1,-1,1,-1,-1,0x000000000000000C,1489,1382,1466,1486,1489,1091,988,988,1730,2012,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2025-03-20,14:48:30.620,90,5.6,12.13,6.6,4,80.0,140,-211,-2,34,-1012,573,-1,-1,-1,-1,-1,1,-1,-1,0x000000000000000C,1485,1361,1499,1426,1485,1091,988,988,1730,2012,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2025-03-20,14:48:31.120,86,5.6,12.11,8.5,5,102.9,147,-256,107,89,-1013,573,-1,-1,-1,-1,-1,1,-1,-1,0x000000000000000C,1474,1338,1553,1423,1474,1091,988,988,1730,2012,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2025-03-20,14:48:31.620,87,5.6,12.02,9.6,6,115.3,214,-257,199,114,-1013,574,-1,-1,-1,-1,-1,1,-1,-1,0x000000000000000C,1469,1338,1599,1389,1469,1091,988,988,1730,2012,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2025-03-20,14:48:32.120,86,5.6,12.02,9.6,8,115.3,207,-257,290,174,-1012,574,-1,-1,-1,-1,-1,1,-1,-1,0x000000000000000C,1456,1338,1645,1393,1456,1091,988,988,1730,2012,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2025-03-20,14:48:32.620,83,5.6,11.96,9.6,9,114.8,262,-410,504,282,-1013,574,-1,-1,-1,-1,-1,1,-1,-1,0x000000000000000C,1430,1261,1752,1365,1430,1091,988,988,1730,2012,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2025-03-20,14:48:33.120,74,5.6,11.87,15.1,11,179.2,214,-440,870,380,-1013,573,-1,-1,-1,-1,-1,1,-1,-1,0x000000000000000C,1401,1246,1935,1389,1401,1091,988,988,1730,2012,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2025-03-20,14:48:33.620,76,5.6,11.82,15.1,13,178.4,114,-362,1024,220,-1013,574,-1,-1,-1,-1,-1,1,-1,-1,0x000000000000000C,1445,1285,2012,1439,1445,1091,988,988,1730,2012,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2025-03-20,14:48:34.120,80,5.6,11.61,35.4,15,410.9,122,-314,1024,220,-1013,574,-1,-1,-1,-1,-1,1,-1,-1,0x000000000000000C,1445,1309,2012,1435,1445,1091,988,988,1730,2012,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2025-03-20,14:48:34.620,80,5.6,11.32,35.4,20,400.7,56,-212,1024,228,-1013,574,-1,-1,-1,-1,-1,1,-1,-1,0x000000000000000C,1443,1360,2012,1468,1443,1091,988,988,1730,2012,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2025-03-20,14:48:35.120,58,5.7,11.25,35.1,25,394.8,-4,-139,1024,-5,-1013,573,-1,-1,-1,-1,-1,1,-1,-1,0x000000000000000C,1493,1397,2012,1498,1493,1091,988,988,1730,2012,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2025-03-20,14:48:35.620,60,5.7,11.25,35.1,30,394.8,-4,-182,1024,-6,-1013,574,-1,-1,-1,-1,-1,1,-1,-1,0x000000000000000C,1493,1375,2012,1498,1493,1091,988,988,1730,2012,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2025-03-20,14:48:36.120,70,5.7,11.13,34.7,35,386.2,-5,-249,1024,-6,-1013,574,-1,-1,-1,-1,-1,1,-1,-1,0x000000000000000C,1493,1342,2012,1499,1493,1091,988,988,1730,2012,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2025-03-20,14:48:36.620,74,5.7,11.13,34.0,40,378.4,-5,-175,1024,197,-1013,574,-1,-1,-1,-1,-1,1,-1,-1,0x000000000000000C,1451,1379,2012,1499,1451,1091,988,988,1730,2012,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2025-03-20,14:48:37.120,68,5.7,11.11,34.0,44,377.7,-5,-146,1024,145,-1013,574,-1,-1,-1,-1,-1,1,-1,-1,0x000000000000000C,1462,1393,2012,1499,1462,1091,988,988,1730,2012,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
