Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),RxBt(V),Curr(A),Capa(mAh),Bat(%),Alt(m),VSpd(m/s),Rud,Ele,Thr,Ail,P1,P2,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2025-04-27,15:28:29.400,-27,-22,100,10,1,8,50,-15,100,9,8.5,0.0,0,0,0.6,0.0,-3,-1,-1024,-6,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000D,1493,1470,988,1498,2012,1486,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:29.830,-27,-18,100,10,1,8,50,-25,100,11,8.5,0.0,0,0,0.7,0.0,-3,-1,-1024,-6,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000D,1493,1470,988,1498,2012,1486,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:30.330,-29,-30,100,10,0,8,50,-30,100,9,8.5,0.0,0,0,0.7,0.0,-3,0,-1024,-6,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000D,1493,1470,988,1498,2012,1486,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:30.830,-29,-25,100,10,1,8,50,-21,100,9,8.4,0.0,0,0,0.7,0.0,-3,0,-1024,-6,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000D,1493,1470,988,1498,2012,1486,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:31.330,-29,-25,100,10,1,8,50,-23,100,11,8.4,0.0,0,0,0.7,0.0,-3,0,-1024,-6,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000D,1493,1470,988,1498,2012,1486,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:31.830,-29,-20,100,10,1,8,50,-18,100,10,8.4,0.0,0,0,0.7,0.0,-3,0,-1024,-7,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000D,1493,1470,988,1498,2012,1486,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:32.330,-29,-20,100,10,1,8,50,-25,100,9,8.5,0.0,0,0,0.7,0.0,-3,1,-1024,-6,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000D,1493,1470,988,1498,2012,1486,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:32.830,-23,-24,100,10,0,8,50,-31,100,11,8.5,0.0,0,0,0.7,0.0,-4,0,-1024,-6,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000D,1493,1470,988,1498,2012,1486,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:33.330,-33,-21,100,10,1,8,50,-19,100,10,8.5,0.0,0,0,0.7,0.0,-3,0,-1024,-6,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000D,1493,1470,988,1498,2012,1486,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:33.830,-33,-21,100,10,1,8,50,-16,100,10,8.4,0.0,0,0,0.7,0.0,-3,0,-1024,-6,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000D,1493,1470,988,1498,2012,1486,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:34.330,-31,-29,100,10,1,8,50,-38,100,10,8.4,0.0,0,0,0.7,0.0,-3,-1,-1024,-7,-1024,249,-1,0,1,-1,-1,1,-1,-1,0x000000000000000D,1493,1470,988,1498,2012,1486,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:34.830,-39,-25,98,10,1,8,50,-32,98,10,8.4,0.0,0,0,0.7,0.0,-3,0,-1024,-6,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000D,1493,1470,988,1498,2012,1486,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:35.330,-39,-25,98,10,1,8,50,-21,96,10,8.4,0.0,0,0,0.7,0.0,-3,0,-1024,-6,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000D,1493,1470,988,1498,2012,1486,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:35.830,-20,-22,99,10,0,8,50,-25,99,11,8.4,0.0,0,0,0.7,0.0,-4,0,-1024,-6,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000D,1493,1470,988,1498,2012,1486,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:36.330,-22,-22,100,10,0,8,50,-29,100,11,8.4,0.0,0,0,0.7,0.0,-4,-1,-1024,-6,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000D,1493,1470,988,1498,2012,1486,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:36.830,-22,-22,100,10,0,8,50,-29,100,9,8.5,0.0,0,0,0.7,0.0,-4,-1,-1024,-6,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000D,1493,1470,988,1498,2012,1486,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:37.330,-25,-22,100,10,1,8,50,-32,100,11,8.5,0.0,0,0,0.7,0.0,-3,-1,-1024,-6,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000D,1493,1470,988,1498,2012,1486,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:37.830,-30,-21,100,10,1,8,50,-19,100,10,8.5,0.0,0,0,0.7,0.0,-4,-1,-1024,-6,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000D,1493,1470,988,1498,2012,1486,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:38.330,-30,-21,100,10,1,8,50,-21,100,9,8.5,0.0,0,0,0.7,0.0,-3,-1,-1024,-7,-1024,249,-1,0,1,-1,-1,1,-1,-1,0x000000000000000D,1493,1470,988,1498,2012,1486,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
