Date,Time,RSSI(dB),RxBt(V),VFAS(V),Curr(A),mAh(mAh),Pwr(W),Rud,Ele,Thr,Ail,P1,P2,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2025-03-20,16:54:28.550,101,5.6,12.35,1.0,0,12.3,0,-130,-348,-8,-913,767,-1,-1,0,-1,-1,1,-1,-1,0x000000000000000C,1494,1401,1326,1496,1494,1091,988,988,1730,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2025-03-20,16:54:28.800,98,5.5,12.35,1.4,0,17.2,38,-135,-306,-6,-913,767,-1,-1,0,-1,-1,1,-1,-1,0x000000000000000C,1493,1399,1347,1477,1493,1091,988,988,1730,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2025-03-20,16:54:29.300,91,5.5,12.34,1.4,0,17.2,129,-199,-273,31,-913,767,-1,-1,0,-1,-1,1,-1,-1,0x000000000000000C,1486,1367,1364,1432,1486,1091,988,988,1730,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-03-20,16:54:29.800,98,5.6,12.31,3.3,1,40.6,88,-167,-182,42,-913,766,-1,-1,0,-1,-1,1,-1,-1,0x000000000000000C,1484,1383,1409,1452,1484,1091,988,988,1730,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-03-20,16:54:30.300,97,5.6,12.26,3.3,1,40.4,110,-186,-109,40,-913,767,-1,-1,0,-1,-1,1,-1,-1,0x000000000000000C,1484,1373,1446,1441,1484,1091,988,988,1730,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-03-20,16:54:30.800,95,5.6,12.26,3.3,2,40.4,45,-159,38,45,-913,767,-1,-1,0,-1,-1,1,-1,-1,0x000000000000000C,1483,1387,1519,1474,1483,1091,988,988,1730,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-03-20,16:54:31.300,91,5.6,12.23,3.3,2,40.3,244,-182,98,57,-913,767,-1,-1,0,-1,-1,1,-1,-1,0x000000000000000C,1481,1375,1549,1374,1481,1091,988,988,1730,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-03-20,16:54:31.800,90,5.6,12.18,3.3,3,40.1,223,-133,178,75,-913,767,-1,-1,0,-1,-1,1,-1,-1,0x000000000000000C,1477,1400,1589,1385,1477,1091,988,988,1730,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-03-20,16:54:32.300,82,5.5,12.07,3.3,3,39.8,257,-153,312,97,-913,767,-1,-1,0,-1,-1,1,-1,-1,0x000000000000000C,1473,1390,1656,1368,1473,1091,988,988,1730,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-03-20,16:54:32.800,82,5.5,12.07,3.3,3,39.8,302,-129,477,25,-913,767,-1,-1,0,-1,-1,1,-1,-1,0x000000000000000C,1487,1402,1738,1345,1487,1091,988,988,1730,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-03-20,16:54:33.300,78,5.5,12.01,14.4,5,172.9,61,-226,686,-264,-913,767,-1,-1,0,-1,-1,1,-1,-1,0x000000000000000C,1550,1353,1843,1466,1550,1091,988,988,1730,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-03-20,16:54:33.800,74,5.6,12.01,14.4,7,172.9,61,-232,666,-319,-913,767,-1,-1,0,-1,-1,1,-1,-1,0x000000000000000C,1565,1350,1833,1466,1565,1091,988,988,1730,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-03-20,16:54:34.300,67,5.6,11.83,14.4,9,170.3,33,-413,862,-215,-913,767,-1,-1,0,-1,-1,1,-1,-1,0x000000000000000C,1537,1260,1931,1480,1537,1091,988,988,1730,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-03-20,16:54:34.800,77,5.5,11.83,14.4,11,170.3,70,-204,1022,310,-913,767,-1,-1,0,-1,-1,1,-1,-1,0x000000000000000C,1422,1364,2011,1461,1422,1091,988,988,1730,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-03-20,16:54:35.300,71,5.5,11.83,14.4,13,170.3,91,-13,1024,259,-913,767,-1,-1,0,-1,-1,1,-1,-1,0x000000000000000C,1436,1460,2012,1451,1436,1091,988,988,1730,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-03-20,16:54:35.800,78,5.6,11.30,31.0,17,350.3,-4,-173,1024,211,-913,767,-1,-1,0,-1,-1,1,-1,-1,0x000000000000000C,1448,1380,2012,1498,1448,1091,988,988,1730,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-03-20,16:54:36.300,65,5.6,11.30,31.0,21,350.3,-4,-67,1024,123,-913,767,-1,-1,0,-1,-1,1,-1,-1,0x000000000000000C,1467,1433,2012,1498,1467,1091,988,988,1730,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-03-20,16:54:36.800,73,5.6,11.22,31.0,26,347.8,-5,-178,1024,-7,-913,767,-1,-1,0,-1,1,1,-1,-1,0x000000000000000C,1494,1377,2012,1499,1494,1091,2012,2012,1730,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-03-20,16:54:37.300,66,5.5,11.19,33.5,30,374.8,-5,-100,1024,-330,-914,767,-1,-1,0,-1,1,1,-1,-1,0x000000000000000C,1568,1416,2012,1499,1568,1091,2012,2012,1730,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-03-20,16:54:37.800,67,5.5,11.15,33.5,35,373.5,-5,-141,1024,-264,-913,767,-1,-1,0,-1,1,1,-1,-1,0x000000000000000C,1550,1396,2012,1499,1550,1091,2012,2012,1730,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-03-20,16:54:38.300,65,5.5,11.14,33.8,40,376.5,-5,-180,1024,-168,-914,767,-1,-1,0,-1,1,1,-1,-1,0x000000000000000C,1527,1376,2012,1499,1527,1091,2012,2012,1730,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-03-20,16:54:38.800,64,5.6,11.10,33.8,44,375.1,14,-194,1024,-48,-914,767,-1,-1,0,-1,1,1,-1,-1,0x000000000000000C,1501,1369,2012,1489,1501,1091,2012,2012,1730,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-03-20,16:54:39.300,58,5.6,11.10,33.8,49,375.1,15,-154,1024,-11,-913,767,-1,-1,0,-1,1,1,-1,-1,0x000000000000000C,1494,1389,2012,1489,1494,1091,2012,2012,1730,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-03-20,16:54:39.800,70,5.6,11.08,32.1,54,355.6,19,-178,1024,43,-914,767,-1,-1,0,-1,1,1,-1,-1,0x000000000000000C,1484,1377,2012,1487,1484,1091,2012,2012,1730,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-03-20,16:54:40.300,68,5.6,11.08,32.1,58,355.6,20,-241,1024,76,-913,767,-1,-1,0,-1,1,1,-1,-1,0x000000000000000C,1477,1346,2012,1486,1477,1091,2012,2012,1730,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
