Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),RxBt(V),Curr(A),Capa(mAh),Bat(%),Alt(m),VSpd(m/s),Rud,Ele,Thr,Ail,P1,P2,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2025-04-25,18:48:54.480,-19,-26,100,10,0,8,50,-23,100,10,8.4,0.0,0,0,0.0,-0.2,-2,0,-1024,-6,-1024,-325,-1,0,1,-1,1,1,-1,-1,0x000000000000000D,1495,1470,988,1499,2012,1490,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2025-04-25,18:48:54.910,-19,-28,97,11,0,8,50,-23,97,11,8.4,0.0,0,0,-0.4,-0.2,-3,0,-1024,-6,-1024,-325,-1,0,1,-1,1,1,-1,-1,0x000000000000000D,1495,1470,988,1499,2012,1490,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2025-04-25,18:48:55.410,-30,-33,100,11,0,8,50,-46,100,10,8.4,0.0,0,0,-0.4,-0.2,-3,-1,-1024,-6,-1024,-325,-1,0,1,-1,1,1,-1,-1,0x000000000000000D,1495,1470,988,1499,2012,1490,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2025-04-25,18:48:55.910,-30,-33,100,11,0,8,50,-23,92,10,8.4,0.0,0,0,-0.4,-0.2,-3,-1,-1024,-6,-1024,-325,-1,0,1,-1,1,1,-1,-1,0x000000000000000D,1495,1470,988,1499,2012,1490,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2025-04-25,18:48:56.410,-28,-27,98,11,1,8,50,-30,98,12,8.4,0.0,0,0,0.0,0.1,67,0,-1024,-6,-1024,-325,-1,0,1,-1,1,1,-1,-1,0x000000000000000D,1495,1470,988,1533,2012,1490,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2025-04-25,18:48:56.910,-28,-27,98,11,1,8,50,-20,100,11,8.4,0.0,0,0,0.0,0.1,72,0,-770,-6,-1024,-325,-1,0,1,-1,1,1,-1,-1,0x000000000000000C,1495,1476,1115,1536,2012,1490,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2025-04-25,18:48:57.410,-30,-23,100,10,1,8,50,-22,99,11,8.4,0.0,0,0,0.0,0.1,-3,-1,-768,-6,-1024,-325,-1,0,1,-1,1,1,-1,-1,0x000000000000000C,1495,1476,1116,1499,2012,1490,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2025-04-25,18:48:57.910,-33,-23,100,10,1,8,50,-21,100,10,8.4,0.0,0,0,0.0,0.0,-3,-1,-1024,-6,-1024,-325,-1,0,1,-1,1,1,-1,-1,0x000000000000000D,1495,1470,988,1499,2012,1490,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2025-04-25,18:48:58.410,-33,-23,100,10,1,8,50,-27,100,11,8.4,0.0,0,0,0.0,0.0,-3,0,-1024,-5,-1024,-325,1,0,1,-1,1,1,-1,-1,0x000000000000000D,1495,1470,988,1499,2012,1490,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2025-04-25,18:48:58.910,-29,-21,99,11,1,8,50,-24,99,10,8.4,0.0,0,0,0.0,0.0,-3,-1,-1024,-6,-1017,-325,1,0,1,-1,1,1,-1,-1,0x000000000000000D,1495,1470,988,1499,2012,1489,1499,1502,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2025-04-25,18:48:59.410,-29,-25,100,10,1,8,50,-23,100,11,8.4,0.0,0,0,0.0,0.0,-3,0,-1024,-6,-1017,-325,1,0,1,-1,1,1,-1,-1,0x000000000000000D,1495,1470,988,1499,2012,1489,1499,1502,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2025-04-25,18:48:59.910,-29,-25,100,10,1,8,50,-22,99,11,8.4,0.0,0,0,0.0,0.0,-3,-1,-1024,-6,-1017,-325,1,0,1,-1,1,1,-1,-1,0x000000000000000D,1495,1470,988,1499,2012,1489,1499,1502,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
