Date,Time,RSSI(dB),RxBt(V),VFAS(V),Curr(A),mAh(mAh),Pwr(W),Rud,Ele,Thr,Ail,P1,P2,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2024-11-12,14:41:08.360,92,5.2,1.22,0.0,0,0.0,22,-3,-893,-3,-406,832,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1517,1430,1054,1511,1509,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-11-12,14:41:09.330,91,5.2,1.22,0.0,0,0.0,4,0,-844,-8,-406,832,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1516,1430,1078,1502,1508,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-11-12,14:41:10.330,90,5.3,1.22,0.1,0,0.1,-4,0,-817,-7,-407,832,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1516,1431,1092,1498,1508,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-11-12,14:41:11.330,89,5.2,1.22,0.0,0,0.0,-3,-1,-816,-26,-407,832,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1513,1432,1092,1499,1506,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-11-12,14:41:12.330,89,5.2,1.22,0.4,0,0.4,27,-216,-766,-7,-406,832,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1516,1541,1117,1513,1508,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-11-12,14:41:13.330,78,5.3,1.22,1.6,0,1.9,-2,-517,-678,-3,-406,832,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1517,1695,1161,1499,1509,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-11-12,14:41:14.330,85,5.2,1.22,1.9,0,2.3,2,-793,-558,10,-406,832,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1520,1837,1221,1501,1510,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-11-12,14:41:15.330,87,5.2,1.22,2.7,1,3.2,-1,-893,-423,-1,-407,832,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1518,1892,1289,1500,1509,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-11-12,14:41:16.330,90,5.2,1.22,4.2,2,5.1,1,-917,-269,2,-407,832,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1518,1910,1366,1500,1509,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-11-12,14:41:17.330,93,5.2,1.21,6.1,3,7.3,120,-1024,-683,254,-406,832,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1573,1948,1159,1560,1537,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
